team_id,team_name,short_name,team_code,home_city,first_season
1,Bengaluru Bulls,Bengaluru,BLR,Bengaluru,1
2,Dabang Delhi K.C.,Delhi,DEL,Delhi,1
3,Jaipur Pink Panthers,Jaipur,JAI,Jaipur,1
4,Bengal Warriors,Bengal,BEN,Kolkata,1
5,U Mumba,Mumbai,MUM,Mumbai,1
6,Patna Pirates,Patna,PAT,Patna,1
7,Puneri Paltan,Pune,PUN,Pune,1
8,Telugu Titans,Telugu,HYD,Hyderabad,1
28,Gujarat Giants,Gujarat,GUJ,Ahmedabad,5
29,Haryana Steelers,Haryana,HAR,Panchkula,5
30,UP Yoddhas,U.P.,UP,Noida,5
31,Tamil Thalaivas,Tamil,CHE,Chennai,5
