player_id,player_name,role,first_season,latest_season,career_matches,career_raid_points,career_tackle_points,career_total_points,career_super_raids,career_super_10s,career_high_5s,career_super_tackles
197,Pardeep Narwal,Raider,2,10,171,1690,9,1699,61,85,0,0
143,Maninder Singh,Defender,1,10,143,1428,51,1479,43,72,3,0
318,Pawan Kumar,Defender,3,10,131,1159,64,1223,30,60,2,5
41,Deepak Niwas Hooda,Raider,1,9,157,1022,130,1152,17,35,5,1
81,Rahul Chaudhari,Raider,1,10,153,1038,97,1135,10,42,3,1
2296,Naveen Kumar,Raider,6,10,91,1005,15,1020,11,63,0,1
757,Sachin,Raider,5,10,128,952,54,1006,14,36,1,6
2024,Arjun Deshwal,Raider,6,10,90,933,5,938,21,52,0,0
26,Ajay Thakur,Raider,1,8,120,772,78,850,8,28,7,0
366,Vikash Khandola,Defender,4,10,124,800,22,822,24,30,0,0
326,Rohit Kumar,Defender,3,9,100,683,47,730,8,26,1,1
106,Shrikant Jadhav,Defender,3,10,141,679,35,714,18,16,0,5
763,Manjeet,Defender,6,10,108,633,70,703,16,19,0,3
2026,Siddharth Desai,Raider,6,10,80,693,9,702,25,34,0,0
94,Rishank Devadiga,Raider,1,8,123,624,76,700,16,11,1,1
142,Sandeep Narwal,Defender,1,9,156,283,359,642,2,1,16,5
58,Kashiling Adake,Raider,1,6,92,552,85,637,8,15,3,1
29,Anup Kumar,Raider,1,6,91,527,102,629,4,13,2,4
388,Monu Goyat,Raider,4,9,98,584,41,625,10,23,0,2
69,Manjeet Chhillar,All Rounder,1,8,131,225,392,617,0,2,27,3
36,Chandran Ranjit,Raider,1,10,112,534,35,569,15,10,0,1
320,Nitin Tomar,All Rounder,3,9,92,490,38,528,9,14,1,2
4944,Bharat,Raider,8,10,64,497,23,520,17,23,0,0
12,Jang Kun Lee,Raider,1,7,107,471,47,518,2,9,0,0
3241,Surender Gill,Raider,7,10,65,487,23,510,19,20,0,3
111,Sukesh Hegde,Raider,1,9,122,475,35,510,10,1,0,0
4960,Aslam Inamdar,Raider,8,10,63,449,58,507,9,12,1,3
155,Prashanth Kumar Rai,Defender,1,9,130,492,13,505,7,12,0,1
4947,Ashu Malik,Raider,8,10,68,468,29,497,15,20,1,7
259,Fazel Atrachali,Raider,2,10,184,8,483,491,0,0,29,10
3097,Ajinkya Pawar,Raider,6,10,92,454,30,484,6,11,0,6
4022,Mohit Goyat,Raider,8,10,60,401,74,475,6,12,1,8
3023,Rohit Gulia,All Rounder,6,10,90,451,16,467,10,12,0,0
3053,V Ajith Kumar,Raider,7,10,79,460,5,465,11,15,0,1
2028,Abhishek Singh,Raider,6,10,78,445,12,457,9,19,0,0
219,K Prapanjan,All Rounder,2,10,127,449,7,456,8,10,0,0
52,Jasvir Singh,Defender,1,6,77,380,67,447,3,7,2,2
5093,Narender,Raider,9,10,44,429,15,444,8,26,0,1
3081,Vijay,Raider,6,10,91,382,44,426,9,11,0,2
322,Surjeet,Defender,3,10,148,19,404,423,1,0,34,11
3032,Guman Singh,Raider,7,10,58,400,7,407,12,20,0,1
251,Meraj Sheykh,All Rounder,2,7,100,350,54,404,8,6,0,1
86,Rajesh Narwal,All Rounder,1,9,98,285,115,400,1,4,1,1
160,Ran Singh,All Rounder,1,10,155,106,278,384,0,0,6,11
3966,Rakesh,Raider,8,10,59,374,8,382,9,17,0,2
3054,Vinay,Raider,7,10,76,372,7,379,14,9,0,0
211,Deepak Narwal,Raider,2,8,97,353,13,366,4,10,0,0
161,Girish Maruti Ernak,Defender,1,10,150,10,340,350,1,0,23,5
368,Sunil Kumar,Defender,4,10,137,9,336,345,1,0,20,12
124,Wazir Singh,All Rounder,1,6,47,278,59,337,3,9,3,2
163,Mahendra Ganesh Rajput,Defender,1,9,108,294,36,330,10,4,0,1
293,Nilesh Salunke,Defender,3,7,84,315,15,330,8,5,0,2
290,Sandeep Dhull,Defender,3,10,117,2,322,324,0,0,20,5
5124,Parteek Dahiya,All-Rounder,9,10,38,308,16,324,13,17,0,1
157,Ravinder Pahal,Defender,1,9,124,14,308,322,0,0,20,3
357,Parvesh Bhainswal,Raider,4,10,140,4,310,314,0,0,19,24
4925,Mohammadreza Chiyaneh,All Rounder,8,10,68,37,272,309,2,0,27,15
156,Pawan Kumar Kadian,Raider,1,8,85,282,25,307,3,5,0,0
3233,Pankaj Mohite,Raider,7,10,58,280,26,306,8,8,0,2
261,Rohit Baliyan,Raider,2,7,71,275,29,304,5,3,0,0
3088,Nitesh Kumar,Defender,6,10,109,4,298,302,0,0,18,10
769,Mahender Singh,Defender,5,10,125,3,292,295,0,0,17,22
85,Rajesh Mondal,Raider,1,6,93,260,34,294,1,1,0,0
3176,Mohammad Nabibakhsh,All Rounder,7,10,78,215,75,290,6,2,1,5
212,Amit Hooda,Defender,2,9,104,11,268,279,0,0,14,8
88,Rakesh Kumar,,1,5,56,186,87,273,0,3,2,1
4183,Meetu,Raider,8,10,58,267,6,273,5,8,0,1
42,Dharmaraj Cheralathan,Defender,1,8,123,43,224,267,0,0,10,2
3240,Sumit,Defender,7,10,89,11,254,265,0,0,20,14
389,Ajay Kumar,Raider,4,8,68,260,2,262,5,6,0,0
3083,Vishal Bhardwaj,All Rounder,6,10,93,6,246,252,0,0,16,15
146,Surender Nada,Defender,1,9,104,24,227,251,0,0,16,10
71,Mohit Chhillar,Defender,1,7,109,7,242,249,0,0,16,4
3228,Saurabh Nandal,Defender,7,10,92,2,246,248,0,0,11,13
3028,Ashish,Raider,7,10,61,184,64,248,5,4,0,4
105,Shabeer Bappu,Defender,1,7,76,213,34,247,0,5,1,1
54,Jeeva Kumar,Defender,1,8,135,1,239,240,0,0,5,8
92,Ravi Dalal,,1,5,45,173,52,225,0,3,2,0
3236,Sagar,Defender,7,10,70,2,223,225,0,0,20,21
240,Ravi Kumar,Defender,2,10,150,1,219,220,0,0,9,6
772,More G B,Raider,5,9,73,157,59,216,2,3,1,2
3086,Surender Singh,Defender,6,10,96,7,208,215,1,0,5,10
194,Joginder Narwal,Defender,2,9,109,5,207,212,0,0,2,3
118,Surjeet Narwal,,1,4,31,160,52,212,0,7,2,0
66,Mahesh Goud,Raider,1,6,68,165,46,211,3,0,1,3
4959,Akash Shinde,Raider,8,10,38,204,5,209,7,7,0,1
3038,Neeraj Narwal,Raider,7,10,59,175,31,206,7,3,0,3
75,Nitin Madane,,1,5,47,165,38,203,0,6,2,0
174,Deepak Kumar Dahiya,Defender,1,6,60,181,20,201,3,2,0,0
489,Abozar Mighani,Defender,5,9,88,2,197,199,0,0,7,5
3128,Sonu,Raider,7,10,46,185,14,199,9,6,0,1
2290,Rajnish,Raider,6,10,36,190,8,198,6,8,0,0
204,Rakesh Narwal,Raider,2,10,73,186,12,198,5,4,0,2
4184,Jaideep,Defender,8,10,66,4,188,192,0,0,15,17
3106,Sunil,Defender - Right Corner,6,10,91,1,187,188,0,0,10,3
579,Jaideep,Defender,5,9,89,0,187,187,0,0,12,6
2357,Naveen,Raider,6,8,48,160,25,185,5,2,0,2
123,Vishal Mane,Defender,1,9,135,1,183,184,0,0,7,3
119,Surjeet Singh,Raider,3,6,50,176,8,184,2,6,0,0
252,Kuldeep Singh,Defender,2,6,66,59,124,183,1,0,6,8
202,Ashish Kumar,Defender,2,10,112,50,129,179,0,0,3,4
3082,Monu,Raider,6,10,81,90,84,174,2,0,1,6
