match_id,season_id,match_number,match_date,stage,venue_id,venue_name,team1_id,team1_name,team2_id,team2_name,toss_winner_id,toss_selection,team1_score,team2_score,winner_id,winning_team_name,score_margin,is_tie,team1_raid_points,team1_tackle_points,team1_all_out_points,team1_extra_points,team2_raid_points,team2_tackle_points,team2_all_out_points,team2_extra_points,team1_raids_total,team1_raids_successful,team1_raids_unsuccessful,team1_raids_empty,team1_super_raids,team2_raids_total,team2_raids_successful,team2_raids_unsuccessful,team2_raids_empty,team2_super_raids,team1_tackles_total,team1_tackles_successful,team1_super_tackles,team2_tackles_total,team2_tackles_successful,team2_super_tackles,team1_all_outs,team2_all_outs
1,1,Match 1,7/26/2014,League,5,"DOME@NSCI SVP Stadium, Mumbai",3,Jaipur Pink Panthers,5,U Mumba,5,Choice of court : Right,28,44,5.0,U Mumba,16,False,25,1,2,0,28,12,4,0,40,20,10,10,0,40,21,4,15,0,24,1,0,32,10,0,2,4
2,1,Match 2,7/26/2014,League,5,"DOME@NSCI SVP Stadium, Mumbai",1,Bengaluru Bulls,2,Dabang Delhi K.C.,2,Choice of court : Left,42,28,1.0,Bengaluru Bulls,14,False,23,13,6,0,15,13,0,0,40,18,11,10,0,41,14,17,10,0,21,13,0,33,11,0,6,0
3,1,Match 3,7/27/2014,League,5,"DOME@NSCI SVP Stadium, Mumbai",1,Bengaluru Bulls,7,Puneri Paltan,1,Choice of court : Right,39,34,1.0,Bengaluru Bulls,5,False,20,14,4,1,20,11,2,1,41,14,12,15,0,41,13,13,14,0,26,13,0,25,10,0,4,2
4,1,Match 4,7/27/2014,League,5,"DOME@NSCI SVP Stadium, Mumbai",4,Bengal Warriors,5,U Mumba,4,Choice of court : Left,24,35,5.0,U Mumba,11,False,17,7,0,0,24,9,2,0,39,15,10,14,0,39,19,8,12,0,25,7,0,24,9,0,0,2
5,1,Match 5,7/28/2014,League,5,"DOME@NSCI SVP Stadium, Mumbai",2,Dabang Delhi K.C.,7,Puneri Paltan,7,Choice of court : Right,35,31,2.0,Dabang Delhi K.C.,4,False,23,10,2,0,22,7,2,0,40,21,5,14,0,39,16,10,13,0,27,10,0,23,5,0,2,2
6,1,Match 6,7/28/2014,League,5,"DOME@NSCI SVP Stadium, Mumbai",5,U Mumba,8,Telugu Titans,8,Choice of court : Left,34,35,8.0,Telugu Titans,1,False,23,9,2,0,24,7,4,0,44,22,7,15,0,43,20,10,13,0,31,9,0,17,7,0,2,4
7,1,Match 7,7/29/2014,League,5,"DOME@NSCI SVP Stadium, Mumbai",5,U Mumba,6,Patna Pirates,5,Choice of court : Right,35,32,5.0,U Mumba,3,False,22,9,4,0,23,7,2,0,41,17,6,17,0,41,21,9,11,0,23,9,0,23,6,0,4,2
8,1,Match 8,7/30/2014,League,4,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",1,Bengaluru Bulls,4,Bengal Warriors,4,Choice of court : Right,46,30,1.0,Bengaluru Bulls,16,False,25,15,6,0,19,11,0,0,43,20,7,16,0,43,16,15,12,0,26,15,0,31,7,0,6,0
9,1,Match 9,7/31/2014,League,4,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",3,Jaipur Pink Panthers,8,Telugu Titans,8,Choice of court : Left,46,31,3.0,Jaipur Pink Panthers,15,False,29,12,4,1,24,4,2,1,44,23,3,18,0,44,21,12,11,0,32,12,0,25,3,0,4,2
10,1,Match 10,7/31/2014,League,4,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",2,Dabang Delhi K.C.,4,Bengal Warriors,2,Choice of court : Left,39,40,4.0,Bengal Warriors,1,False,26,9,4,0,25,11,4,0,44,24,12,8,0,45,16,9,20,0,27,8,0,32,11,0,4,4
