venue_id,venue_name,city,matches_hosted
1029,"Sheraton Grand, Whitefield, Bengaluru",Bengaluru,136
13,"Babu Banarasi Das Indoor Stadium, Lucknow",Lucknow,95
5,"DOME@NSCI SVP Stadium, Mumbai",Mumbai,89
3,"Sawai Mansingh Stadium, Jaipur",Jaipur,80
10,"Indira Gandhi Indoor Stadium, New Delhi",New Delhi,79
4,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",Kolkata,72
1021,"SHREE SHIV CHHATRAPATI SPORTS COMPLEX, Pune",Pune,70
9,"Gachibowli Indoor Stadium, Hyderabad",Hyderabad,62
8,"Rajiv Gandhi Indoor Stadium, Vizag",Vizag,47
2,"Thyagaraj Sports Complex, Delhi",Delhi,39
1023,"The Arena by TransStadia, Ahmedabad",Ahmedabad,37
7,"Shree Shiv Chhatrapati Sports Complex, Pune",Pune,33
1,"Sree Kanteerava Stadium, Bengaluru",Bengaluru,28
6,"Patliputra Sports Complex, Patna",Patna,28
1025,"Tau Devilal Sports Complex, Panchkula",Panchkula,22
1022,"Shaheed Vijay Singh Pathik Sports Complex, Greater Noida",Greater Noida,21
1016,"JAWAHARLAL NEHRU INDOOR STADIUM, Chennai",Chennai,20
16,"Jawaharlal Nehru Indoor Stadium, Chennai",Chennai,13
15,"Harivansh Tana Bhagat Indoor Stadium, Ranchi",Ranchi,12
17,"Mankapur Indoor Stadium, Nagpur",Nagpur,11
1020,"MOTILAL NEHRU SCHOOL OF SPORTS, Sonepat",Sonepat,11
14,"Motilal Nehru School of Sports, Rai, Sonepat",Sonepat,11
11,"The Arena, Ahmedabad",Ahmedabad,11
1041,"Noida Indoor Stadium, Noida",Noida,11
1040,"SDAT Multi purpose Indoor Stadium, Chennai",Chennai,11
1039,"Badminton Hall in Balewadi sports complex,Pune, Pune",Pune,5
1024,"Rajiv Gandhi Indoor Stadium, Kochi",Kochi,4
1043,"GMC Balayogi Sports Complex, Gachibowli, Hyderabad",Hyderabad,2
